line_id,trial_id,colony_strength,BF1,BF2,BF3,BF4,bf1_amounts_ml,bf2_amounts_ml,bf3_amounts_ml,bf4_amounts_ml,collection_1_date,collection_2_date,collection_3_date,collection_4_date,collection_1_output,collection_2_output,collection_3_output,collection_4_output,time_between_bf_hrs,blood_input_ml,egg_output_total,location,efficiency,eggs_per_hour
LAO BRO 20.2.1,20.2.1,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,2025-09-03,2025-09-05,2025-09-09,2025-09-12,230500,415000,202000,218000,48,2400,1065500,22C,443.9583333333333,22197.916666666668
LAO BRO 20.2.2,20.2.2,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,2025-09-03,2025-09-05,2025-09-09,2025-09-12,273000,302000,187000,393000,48,2400,1155000,22C,481.25,24062.5
LAO BRO 20.2.3,20.2.3,"120,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,2025-09-03,2025-09-05,2025-09-09,2025-09-12,680000,520000,367000,350000,48,2400,1917000,22A,798.75,39937.5
LAO BRO 20.2.4,20.2.4,"120,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,2025-09-03,2025-09-05,2025-09-09,2025-09-12,238000,390000,295000,213000,48,2400,1136000,18B,473.3333333333333,23666.666666666668
LAO BRO 20.2.5,20.2.5,"120,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,2025-09-03,2025-09-05,2025-09-09,2025-09-12,610000,550000,390000,200000,48,2400,1750000,18B,729.1666666666666,36458.333333333336
LAO BRO 20.2.6,20.2.6,"120,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,2025-09-03,2025-09-05,2025-09-09,2025-09-12,680000,530000,318000,103000,48,2400,1631000,16B,679.5833333333334,33979.166666666664
TML AMP 15.1.1,15.1.1,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,2025-09-03,2025-09-05,2025-09-09,2025-09-12,285000,462000,142000,222000,48,2400,1111000,27A,462.9166666666667,23145.833333333332
TML AMP 15.1.2,15.1.2,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",600,600,600,600,2025-09-03,2025-09-05,2025-09-09,2025-09-12,370000,194000,419000,271000,48,2400,1254000,27A,522.5,26125.0
TML BRO 15.1.1,15.1.1,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",520,520,520,520,2025-09-03,2025-09-05,2025-09-09,2025-09-12,545000,335000,296000,400000,48,2080,1576000,27B,757.6923076923077,32833.333333333336
TML BRO 15.1.2,15.1.2,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",520,520,520,520,2025-09-03,2025-09-05,2025-09-09,2025-09-12,349000,330000,262000,297000,48,2080,1238000,27B,595.1923076923077,25791.666666666668
TML BRO 15.1.3,15.1.3,"80,000","01-09-2025
02-09-2025","04-09-2025
05-09-2025","08-09-2025
09-09-2025","11-09-2025
12-09-2025",520,520,520,520,2025-09-03,2025-09-05,2025-09-09,2025-09-12,235000,316000,215000,198000,48,2080,964000,27B,463.46153846153845,20083.333333333332
